,season,week,hfa_base,forward_observed_hfa,trailing_observed_hfa
6301,2022,12,1.5969290741129423,2.3264551766216757,2.2076356440782545
6317,2022,13,1.5959020578137848,2.4528634913265703,2.756969001889229
6332,2022,14,1.602800591005129,2.5580558009445666,2.545476707816124
6345,2022,15,1.617936789749569,2.7057745344936848,2.5928963527083395
6361,2022,16,1.6313073170564174,2.7640245564281942,2.504449926316738
6377,2022,17,1.6477648662047573,,2.5666499242186545
6392,2022,18,1.6593232864150833,,2.644274912774563
6408,2022,19,1.6593232864150833,,
6414,2022,20,1.6593232864150833,,
6418,2022,21,1.6593232864150833,,
6420,2022,22,1.6593232864150833,,
6421,2023,1,1.6734707346998634,,1.9064624175429343
6437,2023,2,1.6918750500829536,,1.8013686642050744
6453,2023,3,1.6958562685765608,,2.008181154727936
6469,2023,4,1.6968122492591473,,1.8299644947052003
6485,2023,5,1.7010597863988859,,1.957536594569683
6499,2023,6,1.7095394435552598,,2.0277103945612907
6514,2023,7,1.7118791970473872,,2.3565975829958914
6527,2023,8,1.7161365302570248,,2.377735970914364
6543,2023,9,1.7233683952662338,,2.6111013695597647
6557,2023,10,1.7343997134200888,,2.3550931230187415
6571,2023,11,1.7479855175055272,,2.3362469926476477
6585,2023,12,1.7601129485670943,,2.231340742856264
6601,2023,13,1.7780006815302756,,2.263667667657137
6614,2023,14,1.7904355161360923,,2.3264551766216757
6629,2023,15,1.7914950018343085,,2.4528634913265703
6645,2023,16,1.797173490318192,,2.5580558009445666
6661,2023,17,1.811143105127392,,2.7057745344936848
6677,2023,18,1.8215060307906892,,2.7640245564281942
6693,2023,19,1.8215060307906892,,
6699,2023,20,1.8215060307906892,,
6703,2023,21,1.8215060307906892,,
6705,2023,22,1.8215060307906892,,
6706,2024,1,1.8215060307906892,,
6722,2024,2,1.8215060307906892,,
6738,2024,3,1.8215060307906892,,
6754,2024,4,1.8215060307906892,,
6770,2024,5,1.8215060307906892,,
6784,2024,6,1.8215060307906892,,
6798,2024,7,1.8215060307906892,,
6813,2024,8,1.8215060307906892,,
6829,2024,9,1.8215060307906892,,
6844,2024,10,1.8215060307906892,,
6858,2024,11,1.8215060307906892,,
6872,2024,12,1.8215060307906892,,
6885,2024,13,1.8215060307906892,,
6901,2024,14,1.8215060307906892,,
6914,2024,15,1.8215060307906892,,
6930,2024,16,1.8215060307906892,,
6946,2024,17,1.8215060307906892,,
6962,2024,18,1.8215060307906892,,
